Media Name,Article Link,text,Date,url
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474359,மெட்ராஸ் ஐ.ஐ.டி யில் நடந்துவரும் சாஸ்த்ரா நிகழ்ச்சியில் பள்ளி மாணவர்களுக்கிட...,2024-01-04,https://www.dinamalar.com/photos/today-photos/474359
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474358,தினமலர் நாளிதழ் மாணவர் பதிப்பான பட்டம் மற்றும் இந்துஸ்தான் கல்வி குழுமம் இணை...,2024-01-04,https://www.dinamalar.com/photos/today-photos/474358
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474357,பொங்கல் பரிசு தொகுப்புடன் மக்களுக்கு கொடுப்பதற்க்காக உடுமலை தாலுகா அலுவலகத்த...,2024-01-04,https://www.dinamalar.com/photos/today-photos/474357
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474356,ஊட்டி அருகே  பயிரிடப்பட்டுள்ள காரட்,2024-01-04,https://www.dinamalar.com/photos/today-photos/474356
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474354,பொங்கல் முன்னிட்டு பொங்கல் பானை செய்யும் பணியில் ஈடுபட்டுள்ள தொழிலாளி. இடம்...,2024-01-04,https://www.dinamalar.com/photos/today-photos/474354
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474353,பொங்கல் பண்டிகையை முன்னிட்டு விழுப்புரம் அடுத்த குச்சிப்பாளையம் பகுதியில் பன...,2024-01-04,https://www.dinamalar.com/photos/today-photos/474353
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474352,"ஊட்டி தாவரவியல் பூங்காவில், பனிக்காலத்தில் மட்டும் பூக்கும் பவுலோனியா மலர்கள...",2024-01-04,https://www.dinamalar.com/photos/today-photos/474352
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474351,திருமலை திருப்பதி தேவஸ்தானம் சார்பில் ஶ்ரீ ராம் ஜென்ம பூமி க்ஷேத்ர பிரதிஷ்ட...,2024-01-04,https://www.dinamalar.com/photos/today-photos/474351
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474408,என் அம்மா சுருக்கு பை வித்தாத்தான் எங்களுக்கு சோறு என்னால் முடியல. சுருங்கி போன வயிறுக்கு சோறு தான் இந்த தண்ணீர். பசியின் தாக்கம் இந்த பிஞ்சு முகத்தில் ததும்புகிறது. இடம் புதுச்சேரி தலைமைச் செயலகம் அருகே.,2024-01-05,https://www.dinamalar.com/photos/today-photos/474408
DINA MALAR,https://www.dinamalar.com/photos/today-photos/474407,"பாதுகாப்பும் மட்டும் இல்லை, சாலையில் படுத்து பழுது பார்க்கவும் இந்த போலீஸ்காரருக்கு தெரியும். இடம்: கோவை, தெற்கு தாலுக்க அலுவலகம் அருகே",2024-01-05,https://www.dinamalar.com/photos/today-photos/474407
